Latitud,Longitud,Título
-30.21597713,-67.25863914,Paganzo
-30.21002848,-67.57034853,Aguango
-31.86044742,-68.52438846,Los Sarmientos
-29.07486848,-71.43926968,Chañaral
-29.57007877,-71.29989079,Yerbas Buenas
-30.27694463,-71.39523503,Los Camarones
-30.90376666,-71.55508799,Peña Blanca
-31.19227631,-71.6044618,Amolanas
-31.40004061,-71.45756229,La Canela
-31.87721606,-71.4945307,Conchali
20.623611,-103.241111,Tonala
-32.68189028,-71.22029782,Melon
-28.46645299,-71.22290667,Puerto Huasco
-28.47384092,-71.17949221,Huasaco bajo
-28.5750741,-70.75577167,Vallenar
-27.33348423,-70.93227017,Puerto Copiapo
-30.29006861,-69.19774826,Chango
5.987679401,-72.74677163,Paz de Rio
1.124678364,-78.7611143,Carondelet
20.17446102,-101.9943051,Zinaparo
31.61203877,-111.0488929,Tubac
19.696944,-103.982778,Tuxcacuesco
20.31723778,-104.8744954,Aranjuez
17.13908,-100.4709585,San Jeronimo de Juarez
18.43887889,-99.02461108,Real de Huautla
19.20044845,-100.509796,Chirangangueo
25.79441406,-99.18075021,General Bravo
8.749588465,-69.94279402,Sabaneta
10.10362686,-70.2434208,Burere
-12.63911511,-74.75709996,Picoy
-6.702782964,-79.90648873,Santa Catalina
-6.702826646,-79.90627032,San Pedro
19.702778,-103.4625,Ciudad Guzman
-6.702804805,-79.90603007,San Roque
19.53097258,-99.16880445,Tenayuca
19.45496032,-99.1790873,Popotla
10.60090223,-72.97886508,San Luis
10.24462848,-73.14193116,Tuerto
7.407226786,-74.97150999,Tenche
8.029339319,-75.08799904,La Llana
20.52482934,-100.815215,Celaya
3.528742774,-76.39634184,La Herradura
2.581124439,-76.04674927,San Andres
-9.099095888,-77.73122661,Ancas
25.98253348,-99.80194158,Cueva
5.251737914,-72.14218261,Hacienda de Cravo
-34.18725843,-58.25372814,Martin Garcia
-25.37837436,-57.49713518,Frontera
5.430674459,-75.64817428,Obispo
-36.63571299,-72.79192245,Rafael
21.11956,-101.676224,Leon
-24.03408658,-65.43449356,Leon
-23.91717204,-65.46643525,Volcan
19.79380272,-97.81719881,Real de Tetela
24.73011611,-107.0809361,Limon de Tellaeche
24.23542616,-106.6905855,Real de Santa Rosa de la Laguna
23.66466142,-105.5712785,El Carrizo
24.32732039,-106.3262288,Corpus
25.9819396,-105.3873948,El Magistral
25.338338,-102.8057282,Viesca
25.833056,-103.847778,Mapimi
21.2975,-100.516667,San Luis de La Paz
22.70153614,-105.6051287,Auchen
27.85746666,-107.9912844,Maguarichi
23.43580806,-105.8519482,Santa Lucia
24.64346384,-106.6906289,Achota
24.87641502,-106.9787516,Mayo
26.22709226,-107.7506567,Guaripana
26.14454876,-107.8914851,San Jose de Gracia
27.05635822,-108.170001,Guachara
27.0051998,-108.2116416,Chicuras
20.91116,-100.740097,San Miguel de Allende
26.99687169,-108.3758244,Guasa
22.03577797,-104.9230565,Presidio de Ixcatan
24.89389528,-104.44287,Menores
27.58482238,-105.3325831,San Francisco de Conchos
26.99237553,-106.7135017,Guazarachic
-6.688858521,-78.51634118,Bambamarca
-6.509023815,-78.09512404,Pisuquia
-5.600493057,-78.442102,La Peca
-6.051584334,-78.52789446,Yamon
-7.813688662,-78.55627681,Yaugueda
20.266944,-98.944722,Actopan
-8.417118234,-78.17185645,Calipui
-6.521142804,-78.2722593,Yagen
-7.158005542,-78.86819531,San Luis
-6.237986944,-78.26872977,Ocalli
-6.180681455,-78.2201247,Bilaya
-6.704035138,-77.79999163,Leymebamba
-6.921815869,-77.89667651,Cochabamba
-6.380210887,-78.20999204,Ocumal
-6.128225966,-78.17287245,Dunil
-6.189140168,-78.33158249,Cococho
19.71,-98.449722,Apan
-6.213886562,-78.31968519,Cocochillo
-5.762264863,-78.52384294,El Pintor
-5.733711331,-78.49243406,Chirigua
-5.728000625,-78.4745881,Collecate
-5.666610531,-78.26329196,Coca
-5.735139008,-78.4503176,Timborbamba
-5.805809,-78.30754994,Nuña
-5.740849714,-78.42319174,Limenlegia
-6.317785727,-77.4303081,Mian
-6.28858763,-78.8581422,Ametistas
20.713056,-99.820833,Cadereyta
-8.126194033,-78.2983399,Aguincai
-8.16664487,-78.22695607,Monferrate
-8.202812677,-78.29976758,Cotos
-8.11477262,-78.13225352,Pariguanca
-8.091929794,-77.99234121,Michiguilca
-8.099544069,-77.93571004,San Francisco
-8.172355576,-78.35163983,Cruzgai
9.22174056,-78.96366424,Terable
19.264722,-98.8975,Chalco
9.16044732,-79.07224183,Avezilla
9.130466111,-79.06272398,Alzamont
9.151405368,-79.01513476,Jesus Maria
9.141887524,-79.00418924,Don Julian
9.187097283,-78.97563571,Uni
25.21267991,-106.5732709,Real de Topia
28.13696743,-106.202112,Guadalupe
28.15986974,-106.215199,Concepcion
28.48385318,-107.5191516,Muguriachi
